SNAME,SUBNATIONS_SRANKS
Agalinis tenuifolia,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S1), FL(SNR), GA(S5), GS(P2), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NY(S5), OH(SNR), OK(S2S3), PA(SNR), RI(S2), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), WY(S2), MB(S2S3), NB(S1), ON(S4S5), QC(S3)"
Agalinis tenuifolia var. macrophylla,"AL(SNR), AR(SNR), CT(SNR), GA(SU), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MI(SU), MN(SNR), MO(SNR), MS(SNR), NE(SNR), NY(SH), OH(SNR), OK(SNR), PA(SNR), TN(SNR), TX(SNR), WI(SNR), ON(S1?)"
Agalinis tenuifolia var. tenuifolia,"AL(SNR), AR(SNR), CT(SNR), DE(S1), GA(S5), IL(SNR), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WV(S5), ON(SU), QC(SNR)"
Agastache nepetoides,"AL(S1), AR(SNR), CT(S1), DC(SNR), DE(S2), GA(S1), GS(P1), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S4?), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S1), NE(SNR), NJ(S2), NY(S2S3), OH(SNR), OK(SNR), PA(SNR), SC(SU), SD(SNR), TN(SNR), TV(SNR), VA(S5), VT(S1), WI(S3), WV(S4), ON(S4), QC(S1)"
Agastache scrophulariifolia,"CT(S1), DC(SX), DE(SH), GA(SH), GS(P1), IA(S4), IL(SNR), IN(SNR), KS(SH), MA(S1), MD(S1S2), MI(SNR), MN(SNR), MO(S1), NC(S3), NE(S1), NH(SNR), NJ(S2), NY(S4), OH(SNR), PA(SNR), SC(SNR), SD(SNR), TN(S1S2), TV(SNR), VA(S4), VT(SH), WI(SNR), WV(S3), ON(S1)"
Ageratina altissima,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(S5), GS(PNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(S5), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S4S5), NS(S1), ON(SNR), QC(S4S5), SK(SNR)"
Eupatorium rugosum,"AL(SNR), AR(SNR), CT(SNR), DE(S5), FL(SNR), GA(S5), GS(P1P3), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NB(S4S5), NS(S1), ON(S5), QC(S4S5), SK(SNR)"
Ageratina aromatica,"AL(SNR), CT(S1), DC(SNR), DE(SU), FL(SNR), GA(S5), GS(P2), KY(S4), LA(SNR), MA(S1), MD(SNR), MS(SNR), NC(S5), NJ(SNR), NY(S1), OH(S2), PA(S3), RI(SNR), SC(SNR), TN(SNR), VA(S4), WV(S1)"
Ageratina aromatica var. aromatica,"AL(SNR), CT(SNR), DE(SNR), FL(SNR), GA(S5), KY(S4), LA(SNR), MA(SNR), MD(SNR), MS(SNR), NC(SNR), NJ(S1), NY(S1), OH(SNR), PA(SNR), RI(SH), SC(SNR), TN(SNR), VA(S4), WV(S1)"
Agrimonia bicknellii,"GA(SU), IL(SNR), MA(SNR), MI(SNR), NC(SNR), NJ(SNR), NY(SNR), OH(SNR), PA(SNR), TN(SNR)"
Agrimonia gryposepala,"AL(SNR), AZ(S4), CA(SNR), CT(SNR), DE(S3), GA(S1?), GS(P2P3), IA(S5), IL(SNR), IN(SNR), KS(S1), KY(S1S2), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SU), MT(SU), NC(S3), ND(S3), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S2), BC(S3S4), MB(S1S2), NB(S3), NS(S3), ON(S5), PE(S2), QC(S3S4)"
Agrimonia microcarpa,"AL(SNR), CT(SNR), DC(SNR), DE(SU), FL(SNR), GA(S4?), IL(SNR), KS(SU), KY(S2?), LA(SNR), MD(S1?), MS(SNR), NC(S4), NJ(S2), PA(S5), SC(SNR), TX(SNR), VA(S3S4), WV(S1)"
Agrimonia parviflora,"AL(SNR), AR(SNR), CT(S4), DC(S5), DE(S4), FL(SNR), GA(S5), GS(P4), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(S1), MD(SNR), MI(SNR), MO(SNR), MS(SNR), NC(S5), NE(S2S4), NJ(S5), NY(S3), OH(SNR), OK(SNR), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), WI(S1S2), WV(S5), ON(S4)"
Agrimonia pubescens,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S3), GA(S5), GS(P3), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(S2), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NE(S3S5), NJ(S5), NY(S4), OH(SNR), OK(SNR), PA(SNR), RI(SH), SC(S1), SD(SNR), TN(SNR), VA(S5), VT(SH), WI(SNR), WV(S5), ON(S4), QC(S1)"
Agrimonia rostellata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S3), FL(SNR), GA(S5?), GS(P1P3), IL(SNR), IN(SNR), KS(S2), KY(S5), LA(SNR), MA(SNR), MD(SNR), MI(S1S2), MN(SNR), MO(SNR), MS(SNR), NC(S4), NJ(S4), NY(S2), OH(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S4)"
Agrimonia striata,"AL(SNR), AZ(SNR), CO(SNR), CT(SNR), DE(S2), GA(SU), IA(S3), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MT(SU), ND(SNR), NE(SNR), NH(SNR), NJ(S3S4), NM(SNR), NY(S5), OH(SNR), OK(SU), PA(SNR), RI(SNR), SD(SNR), VT(SNR), WI(SNR), WV(S3), WY(S2S3), AB(S4), BC(S3S4), MB(S4), NB(S5), NF(S2S3), NS(S5), ON(S4?), PE(S4), QC(S4S5), SK(S4S5)"
Agrostis elliottiana,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), DC(SNR), FL(SNR), GA(S4), GS(P1), IL(S2S3), IN(SNR), KS(S3), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MO(SNR), MS(SNR), NC(S3?), NM(SNR), OH(S1), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S3)"
Agrostis hyemalis,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(S5), GS(P3), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(SNR), NH(SNR), NJ(S5), NY(S4S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(S5), WI(SNR), WV(S4), ON(S1)"
Agrostis perennans,"AL(SNR), AR(SNR), CA(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P4), IA(S4), IL(S4), IN(SNR), KS(S2), KY(S4S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), NB(S5), NF(S2), NS(S4S5), ON(S5), PE(S3?), QC(S3S4)"
